,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
154,Marc Gasol,C,35,TOR,23,23,662,49,144,0.34,27,77,0.35100000000000003,22,67,0.32799999999999996,0.434,19,24,0.792,17,129,146,81,15,27,31,77,144
155,Rudy Gay,PF,33,SAS,23,4,532,96,209,0.45899999999999996,20,73,0.27399999999999997,76,136,0.5589999999999999,0.507,48,54,0.889,31,105,136,44,10,13,38,34,260
156,Paul George,SF,29,LAC,14,14,416,108,242,0.446,57,136,0.419,51,106,0.48100000000000004,0.564,62,68,0.912,7,82,89,50,20,6,48,36,335
157,Taj Gibson,C,34,NYK,21,15,344,50,96,0.521,2,9,0.222,48,87,0.552,0.531,9,15,0.6,41,52,93,25,14,5,14,46,111
158,Harry Giles,PF,21,SAC,7,0,52,11,25,0.44,0,0,0.0,11,25,0.44,0.44,2,2,1.0,3,4,7,5,2,3,5,13,24
159,Shai Gilgeous-Alexander,SG,21,OKC,23,23,802,156,361,0.43200000000000005,34,95,0.358,122,266,0.45899999999999996,0.479,86,108,0.7959999999999999,16,103,119,69,23,10,49,42,432
160,Rudy Gobert,C,27,UTA,22,22,745,121,178,0.68,0,0,0.0,121,178,0.68,0.68,75,122,0.615,74,224,298,30,17,39,49,70,317
161,Brandon Goodwin,PG,24,ATL,2,0,5,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0
162,Aaron Gordon,PF,24,ORL,20,20,623,100,236,0.424,25,80,0.313,75,156,0.48100000000000004,0.47700000000000004,48,67,0.716,31,105,136,57,14,10,28,43,273
163,Eric Gordon,SG,31,HOU,9,2,265,34,110,0.309,21,74,0.284,13,36,0.361,0.405,9,14,0.643,3,14,17,7,5,2,12,21,98
164,Devonte' Graham,PG,24,CHO,25,15,841,153,379,0.40399999999999997,90,217,0.415,63,162,0.389,0.522,75,93,0.8059999999999999,27,67,94,194,17,5,77,41,471
165,Treveon Graham,SG,26,MIN,22,17,484,47,136,0.34600000000000003,13,62,0.21,34,74,0.45899999999999996,0.39299999999999996,19,24,0.792,23,53,76,23,14,2,13,49,126
166,Jerami Grant,PF,25,DEN,21,0,464,74,163,0.45399999999999996,26,72,0.361,48,91,0.527,0.534,25,42,0.595,11,62,73,21,7,12,18,37,199
167,Josh Gray,PG,26,NOP,2,0,23,1,2,0.5,0,0,0.0,1,2,0.5,0.5,0,0,0.0,1,1,2,2,0,0,5,1,2
168,Danny Green,SG,32,LAL,24,24,607,71,164,0.433,47,118,0.39799999999999996,24,46,0.522,0.5760000000000001,8,11,0.727,15,76,91,29,31,12,23,58,197
169,Draymond Green,PF,29,GSW,16,16,451,51,126,0.405,11,40,0.275,40,86,0.465,0.44799999999999995,28,39,0.718,7,88,95,89,25,11,37,42,141
170,JaMychal Green,PF,29,LAC,22,0,469,55,133,0.414,34,90,0.37799999999999995,21,43,0.488,0.541,18,21,0.857,29,116,145,10,13,7,20,54,162
171,Javonte Green,SF,26,BOS,16,0,111,21,35,0.6,3,10,0.3,18,25,0.72,0.643,2,5,0.4,3,12,15,4,4,2,3,11,47
172,Jeff Green,PF,33,UTA,24,2,456,63,158,0.39899999999999997,30,86,0.349,33,72,0.45799999999999996,0.494,43,54,0.7959999999999999,10,56,66,15,10,10,25,42,199
173,Blake Griffin,PF,30,DET,12,12,352,69,173,0.39899999999999997,22,71,0.31,47,102,0.461,0.462,58,75,0.773,12,47,59,39,5,4,33,17,218
174,Marko Guduric,SG,24,MEM,23,0,347,45,116,0.38799999999999996,17,57,0.298,28,59,0.475,0.461,13,15,0.867,11,36,47,33,8,5,24,22,120
175,Rui Hachimura,PF,21,WAS,22,22,651,132,273,0.484,9,44,0.205,123,229,0.537,0.5,40,45,0.889,34,93,127,38,17,3,19,49,313
176,Devon Hall,SG,24,OKC,5,0,20,1,5,0.2,0,2,0.0,1,3,0.33299999999999996,0.2,3,4,0.75,0,1,1,3,0,0,1,1,5
177,Tim Hardaway,SG,27,DAL,23,10,570,103,238,0.433,56,147,0.381,47,91,0.516,0.55,41,50,0.82,7,42,49,41,14,3,12,44,303
178,James Harden,SG,30,HOU,23,23,868,238,552,0.431,107,317,0.33799999999999997,131,235,0.557,0.528,290,330,0.879,22,117,139,172,46,13,117,75,873
179,Maurice Harkless,SF,26,LAC,25,15,580,57,118,0.483,15,41,0.366,42,77,0.545,0.547,13,26,0.5,24,63,87,28,26,19,21,71,142
180,Jared Harper,PG,22,PHO,1,0,2,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
181,Montrezl Harrell,C,26,LAC,25,2,733,198,332,0.596,0,9,0.0,198,323,0.613,0.596,81,132,0.614,73,123,196,51,19,29,41,58,477
182,Gary Harris,SG,25,DEN,21,21,668,84,203,0.414,32,87,0.368,52,116,0.44799999999999995,0.493,22,29,0.759,11,54,65,39,24,7,20,45,222
183,Joe Harris,SF,28,BRK,23,23,728,126,261,0.483,66,145,0.455,60,116,0.517,0.609,22,27,0.815,20,67,87,48,17,8,31,57,340
184,Tobias Harris,PF,27,PHI,24,24,820,182,373,0.488,34,107,0.318,148,266,0.556,0.534,63,79,0.797,17,151,168,75,22,18,50,65,461
185,Shaquille Harrison,SF,26,CHI,15,4,133,18,45,0.4,3,9,0.33299999999999996,15,36,0.41700000000000004,0.433,11,18,0.611,5,22,27,19,6,4,6,16,50
186,Josh Hart,SF,24,NOP,17,4,464,64,153,0.418,37,106,0.349,27,47,0.574,0.539,26,34,0.765,18,87,105,25,17,6,21,46,191
187,Isaiah Hartenstein,C,21,HOU,8,0,96,11,15,0.733,0,1,0.0,11,14,0.7859999999999999,0.733,9,11,0.818,8,18,26,4,2,4,6,16,31
188,Udonis Haslem,PF,39,MIA,2,0,11,1,1,1.0,0,0,0.0,1,1,1.0,1.0,3,4,0.75,0,3,3,0,0,0,0,3,5
189,Jaxson Hayes,C,19,NOP,21,10,442,72,118,0.61,0,3,0.0,72,115,0.626,0.61,46,70,0.657,43,54,97,14,17,23,18,67,190
190,Gordon Hayward,SF,29,BOS,9,9,276,68,120,0.5670000000000001,13,32,0.406,55,88,0.625,0.621,16,19,0.8420000000000001,7,55,62,37,7,2,17,16,165
191,John Henson,PF,29,CLE,5,0,59,11,21,0.524,0,5,0.0,11,16,0.688,0.524,3,9,0.33299999999999996,6,8,14,5,4,6,5,5,25
192,Dewan Hernandez,C,23,TOR,3,0,9,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,2,1.0,2,5,7,0,1,0,1,5,4
193,Juan Hernangómez,PF,24,DEN,14,0,209,21,57,0.368,12,37,0.324,9,20,0.45,0.474,5,9,0.556,8,28,36,11,1,3,9,14,59
194,Willy Hernangómez,C,25,CHO,8,0,60,9,22,0.409,2,6,0.33299999999999996,7,16,0.43799999999999994,0.455,4,8,0.5,9,12,21,2,1,3,5,4,24
195,Tyler Herro,SG,20,MIA,22,3,637,117,261,0.44799999999999995,47,120,0.392,70,141,0.496,0.5379999999999999,39,47,0.83,6,83,89,44,17,3,44,32,320
196,Mario Hezonja,PF,24,POR,21,4,361,33,94,0.35100000000000003,10,31,0.32299999999999995,23,63,0.365,0.40399999999999997,21,25,0.84,13,79,92,21,12,2,19,47,97
197,Buddy Hield,SG,27,SAC,23,23,788,179,423,0.423,89,239,0.37200000000000005,90,184,0.489,0.528,46,54,0.852,22,88,110,62,19,9,59,60,493
198,George Hill,PG,33,MIL,22,0,465,72,133,0.541,33,64,0.516,39,69,0.565,0.665,31,37,0.838,22,42,64,69,17,2,18,37,208
199,Solomon Hill,SF,28,MEM,21,1,426,48,114,0.42100000000000004,24,62,0.387,24,52,0.462,0.526,11,18,0.611,11,57,68,40,23,2,19,34,131
200,Jaylen Hoard,SF,20,POR,4,0,12,1,2,0.5,0,0,0.0,1,2,0.5,0.5,1,2,0.5,1,4,5,2,1,0,0,1,3
201,Aaron Holiday,PG,23,IND,22,9,462,73,187,0.39,32,84,0.381,41,103,0.39799999999999996,0.47600000000000003,13,14,0.929,9,47,56,61,18,2,30,32,191
202,Jrue Holiday,SG,29,NOP,22,22,789,173,385,0.449,37,114,0.325,136,271,0.502,0.49700000000000005,41,61,0.672,28,82,110,146,43,15,71,56,424
203,Justin Holiday,SG,30,IND,24,2,602,63,153,0.41200000000000003,38,96,0.396,25,57,0.439,0.536,19,23,0.826,11,79,90,38,24,16,15,41,183
204,Rondae Hollis-Jefferson,SF,25,TOR,16,0,331,57,104,0.5479999999999999,1,5,0.2,56,99,0.5660000000000001,0.5529999999999999,27,37,0.73,39,47,86,23,12,6,20,28,142
205,Richaun Holmes,C,26,SAC,23,19,673,121,181,0.669,0,0,0.0,121,181,0.669,0.669,46,58,0.7929999999999999,66,132,198,24,24,32,21,93,288
206,Rodney Hood,SF,27,POR,21,21,619,87,172,0.506,35,71,0.493,52,101,0.515,0.608,21,27,0.778,10,62,72,32,17,4,19,46,230
207,Al Horford,C,33,PHI,22,22,677,124,253,0.49,33,85,0.38799999999999996,91,168,0.542,0.555,25,37,0.6759999999999999,37,111,148,87,24,23,24,52,306
208,Talen Horton-Tucker,SG,19,LAL,1,0,2,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
209,Danuel House,SF,26,HOU,17,15,507,66,145,0.455,43,101,0.426,23,44,0.523,0.603,30,37,0.8109999999999999,18,53,71,24,19,11,16,39,205
210,Dwight Howard,C,34,LAL,24,0,480,66,89,0.742,1,3,0.33299999999999996,65,86,0.7559999999999999,0.747,35,67,0.522,50,119,169,18,9,33,26,89,168
211,Kevin Huerter,SG,21,ATL,12,4,265,35,83,0.42200000000000004,20,51,0.392,15,32,0.469,0.542,12,15,0.8,7,31,38,36,9,5,17,23,102
212,De'Andre Hunter,SF,22,ATL,22,21,692,94,239,0.39299999999999996,37,105,0.35200000000000004,57,134,0.425,0.47100000000000003,41,51,0.804,11,78,89,41,14,5,39,58,266
213,Chandler Hutchison,SF,23,CHI,9,6,154,20,44,0.455,5,12,0.41700000000000004,15,32,0.469,0.511,19,29,0.655,1,32,33,8,5,2,12,12,64
214,Serge Ibaka,C,30,TOR,13,0,289,65,142,0.45799999999999996,12,32,0.375,53,110,0.48200000000000004,0.5,29,35,0.8290000000000001,23,68,91,15,6,11,29,35,171
215,Ersan İlyasova,PF,32,MIL,22,0,347,58,119,0.48700000000000004,17,54,0.315,41,65,0.631,0.5589999999999999,27,33,0.818,29,75,104,13,10,7,6,38,160
216,Joe Ingles,SF,32,UTA,24,4,668,60,164,0.366,35,108,0.324,25,56,0.446,0.473,24,32,0.75,5,92,97,97,24,2,41,55,179
217,Brandon Ingram,PF,22,NOP,20,20,674,179,362,0.494,46,110,0.418,133,252,0.528,0.5579999999999999,94,112,0.8390000000000001,15,124,139,79,16,18,58,60,498
218,Kyrie Irving,PG,27,BRK,11,11,372,112,252,0.444,31,91,0.341,81,161,0.503,0.506,59,63,0.937,10,49,59,79,12,6,26,32,314
219,Jonathan Isaac,SF,22,ORL,21,21,647,101,225,0.449,24,74,0.324,77,151,0.51,0.502,33,42,0.7859999999999999,38,115,153,30,27,60,34,49,259
220,Wesley Iwundu,SF,25,ORL,11,3,161,10,35,0.28600000000000003,1,9,0.111,9,26,0.34600000000000003,0.3,15,18,0.833,4,19,23,9,5,3,4,9,36
221,Frank Jackson,PG,21,NOP,21,1,320,52,140,0.371,20,65,0.308,32,75,0.42700000000000005,0.44299999999999995,26,32,0.813,5,25,30,22,9,1,21,32,150
222,Jaren Jackson,C,20,MEM,22,22,596,129,286,0.451,46,124,0.371,83,162,0.512,0.531,52,65,0.8,27,78,105,31,12,27,42,91,356
223,Justin Jackson,PF,24,DAL,22,0,310,54,116,0.466,23,58,0.397,31,58,0.534,0.565,10,13,0.769,9,46,55,9,5,2,4,23,141
224,Reggie Jackson,PG,29,DET,2,2,36,4,11,0.364,1,5,0.2,3,6,0.5,0.409,1,1,1.0,1,4,5,8,0,0,1,2,10
225,Justin James,SG,23,SAC,11,0,140,18,44,0.409,3,14,0.214,15,30,0.5,0.44299999999999995,1,6,0.16699999999999998,2,18,20,9,4,6,5,11,40
226,LeBron James,PG,35,LAL,24,24,825,239,477,0.501,52,143,0.364,187,334,0.56,0.556,91,129,0.705,23,141,164,259,31,13,89,42,621
227,Amile Jefferson,PF,26,ORL,5,0,13,3,3,1.0,0,0,0.0,3,3,1.0,1.0,0,0,0.0,2,2,4,2,0,0,1,2,6
228,DaQuan Jeffries,SG,22,SAC,2,0,11,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,0,0.0,1,0,1,1,0,0,0,1,2
229,Ty Jerome,PG,22,PHO,5,0,67,6,18,0.33299999999999996,3,7,0.429,3,11,0.273,0.41700000000000004,2,2,1.0,0,8,8,12,8,0,6,9,17
230,Alize Johnson,SF,23,IND,8,0,37,5,11,0.455,0,0,0.0,5,11,0.455,0.455,3,4,0.75,6,6,12,2,0,0,1,4,13
231,B.J. Johnson,SF,24,ORL,1,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
232,Cameron Johnson,PF,23,PHO,21,0,421,67,153,0.43799999999999994,42,103,0.408,25,50,0.5,0.575,16,17,0.941,21,43,64,18,12,7,14,37,192
233,James Johnson,PF,32,MIA,6,0,68,8,18,0.444,2,9,0.222,6,9,0.667,0.5,2,4,0.5,2,9,11,4,3,2,4,5,20
234,Keldon Johnson,SF,20,SAS,1,0,2,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
235,Stanley Johnson,PF,23,TOR,5,0,19,3,9,0.33299999999999996,1,4,0.25,2,5,0.4,0.389,0,0,0.0,2,5,7,0,1,0,4,6,7
236,Tyler Johnson,SG,27,PHO,19,3,364,44,111,0.396,18,55,0.327,26,56,0.46399999999999997,0.47700000000000004,18,24,0.75,5,30,35,41,6,6,19,28,124
237,Nikola Jokić,C,24,DEN,21,21,650,138,297,0.465,19,83,0.22899999999999998,119,214,0.556,0.49700000000000005,43,54,0.7959999999999999,45,167,212,128,23,12,54,68,338
238,Damian Jones,C,24,ATL,22,14,418,69,98,0.7040000000000001,2,5,0.4,67,93,0.72,0.7140000000000001,29,43,0.674,36,55,91,17,11,20,15,77,169
239,Derrick Jones,SF,22,MIA,9,0,132,16,34,0.47100000000000003,2,8,0.25,14,26,0.5379999999999999,0.5,7,10,0.7,5,15,20,7,7,2,6,18,41
240,Tyus Jones,PG,23,MEM,23,5,469,57,149,0.38299999999999995,8,37,0.21600000000000003,49,112,0.43799999999999994,0.409,18,25,0.72,0,35,35,112,20,3,30,21,140
241,DeAndre Jordan,C,31,BRK,20,3,429,67,95,0.705,0,0,0.0,67,95,0.705,0.705,29,43,0.674,45,139,184,41,8,21,21,42,163
242,Cory Joseph,PG,28,SAC,23,14,606,54,148,0.365,12,44,0.273,42,104,0.40399999999999997,0.405,16,16,1.0,12,47,59,91,20,12,30,48,136
243,Mfiondu Kabengele,C,22,LAC,8,0,35,7,18,0.389,4,10,0.4,3,8,0.375,0.5,3,3,1.0,1,5,6,1,1,1,1,3,21
244,Frank Kaminsky,C,26,PHO,23,10,541,85,199,0.42700000000000005,26,82,0.317,59,117,0.504,0.49200000000000005,45,67,0.672,24,97,121,50,9,9,24,52,241
245,Enes Kanter,C,27,BOS,15,3,239,43,73,0.589,0,1,0.0,43,72,0.597,0.589,24,37,0.649,37,50,87,17,9,6,12,19,110
246,Luke Kennard,SG,23,DET,23,20,754,128,286,0.44799999999999995,59,148,0.39899999999999997,69,138,0.5,0.551,60,67,0.8959999999999999,6,73,79,96,11,5,33,54,375
247,Stanton Kidd,SF,27,UTA,4,0,15,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,0.0,0,3,3,1,0,0,2,3,0
248,Michael Kidd-Gilchrist,PF,26,CHO,3,0,41,5,18,0.278,2,6,0.33299999999999996,3,12,0.25,0.33299999999999996,2,2,1.0,3,6,9,3,0,1,2,7,14
249,Maxi Kleber,C,28,DAL,22,5,534,59,140,0.42100000000000004,31,84,0.369,28,56,0.5,0.532,28,31,0.903,37,89,126,22,5,14,15,40,177
250,Brandon Knight,PG,28,CLE,8,0,95,14,40,0.35,10,31,0.32299999999999995,4,9,0.444,0.475,2,6,0.33299999999999996,1,7,8,15,4,0,6,9,40
251,Kevin Knox,SF,20,NYK,22,3,437,56,149,0.376,30,82,0.366,26,67,0.38799999999999996,0.47700000000000004,31,47,0.66,10,53,63,26,11,7,16,36,173
252,John Konchar,SG,23,MEM,1,0,7,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
253,Furkan Korkmaz,SG,22,PHI,23,11,524,71,168,0.423,38,105,0.36200000000000004,33,63,0.524,0.536,17,21,0.81,4,49,53,21,8,5,18,37,197
254,Luke Kornet,C,24,CHI,13,0,135,15,46,0.326,5,26,0.192,10,20,0.5,0.38,5,5,1.0,5,15,20,6,2,10,3,12,40
255,Kyle Korver,SF,38,MIL,20,0,308,34,94,0.36200000000000004,29,79,0.36700000000000005,5,15,0.33299999999999996,0.516,9,11,0.818,6,26,32,15,8,4,17,20,106
256,Rodions Kurucs,PF,21,BRK,10,0,99,9,23,0.391,3,7,0.429,6,16,0.375,0.457,2,6,0.33299999999999996,5,17,22,1,5,0,12,16,23
257,Kyle Kuzma,PF,24,LAL,20,1,461,81,187,0.433,32,89,0.36,49,98,0.5,0.519,27,39,0.6920000000000001,8,60,68,17,6,8,35,34,221
258,Skal Labissière,C,23,POR,24,0,398,62,108,0.574,2,8,0.25,60,100,0.6,0.583,15,22,0.682,48,73,121,26,6,24,24,61,141
259,Jeremy Lamb,SG,27,IND,15,15,485,91,193,0.47200000000000003,19,62,0.306,72,131,0.55,0.521,35,44,0.795,10,69,79,39,17,8,21,33,236
260,Romeo Langford,SG,20,BOS,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
261,Zach LaVine,SG,24,CHI,25,25,819,189,445,0.425,74,187,0.396,115,258,0.446,0.508,104,130,0.8,17,95,112,100,31,12,85,62,556
262,Jake Layman,PF,25,MIN,14,2,369,61,132,0.462,19,54,0.35200000000000004,42,78,0.5379999999999999,0.534,6,10,0.6,12,29,41,11,12,10,18,31,147
263,T.J. Leaf,PF,22,IND,15,1,158,26,58,0.44799999999999995,5,11,0.455,21,47,0.447,0.491,5,8,0.625,20,37,57,6,7,3,6,14,62
264,Courtney Lee,SG,34,DAL,7,3,62,13,22,0.591,7,12,0.583,6,10,0.6,0.75,0,0,0.0,0,3,3,3,0,2,1,5,33
265,Damion Lee,SG,27,GSW,11,0,241,35,91,0.385,12,35,0.34299999999999997,23,56,0.41100000000000003,0.451,28,33,0.848,9,34,43,20,8,0,13,18,110
266,Alex Len,C,26,ATL,22,9,371,66,129,0.512,5,27,0.185,61,102,0.598,0.531,30,43,0.698,31,72,103,20,11,18,21,46,167
267,Kawhi Leonard,SF,28,LAC,18,18,560,161,360,0.447,30,91,0.33,131,269,0.48700000000000004,0.489,99,116,0.853,19,123,142,94,34,14,61,36,451
268,Meyers Leonard,PF,27,MIA,23,23,425,53,91,0.5820000000000001,21,40,0.525,32,51,0.627,0.698,5,9,0.556,8,91,99,21,7,10,18,48,132
269,Caris LeVert,SG,25,BRK,9,9,284,59,140,0.42100000000000004,13,36,0.361,46,104,0.442,0.46799999999999997,20,31,0.645,10,35,45,36,6,1,31,20,151
270,Damian Lillard,PG,29,POR,22,22,812,182,411,0.44299999999999995,69,197,0.35,113,214,0.528,0.527,154,169,0.9109999999999999,11,91,102,163,23,10,63,45,587
271,Nassir Little,PF,19,POR,17,3,259,29,71,0.408,5,29,0.172,24,42,0.5710000000000001,0.444,13,20,0.65,19,41,60,8,7,7,9,34,76
272,Kevon Looney,C,23,GSW,5,2,56,6,18,0.33299999999999996,1,1,1.0,5,17,0.294,0.361,2,4,0.5,9,9,18,2,1,2,4,9,15
273,Brook Lopez,C,31,MIL,22,22,580,75,190,0.395,32,109,0.294,43,81,0.531,0.479,41,44,0.932,12,94,106,30,16,52,22,47,223
274,Robin Lopez,C,31,MIL,24,2,346,48,102,0.47100000000000003,13,42,0.31,35,60,0.583,0.534,10,17,0.588,26,40,66,17,4,16,29,42,119
275,Kevin Love,PF,31,CLE,19,19,574,91,212,0.429,40,112,0.35700000000000004,51,100,0.51,0.524,75,85,0.882,18,181,199,50,12,7,52,26,297
276,Kyle Lowry,PG,33,TOR,12,12,448,71,168,0.423,37,100,0.37,34,68,0.5,0.5329999999999999,63,70,0.9,7,51,58,83,13,5,38,35,242
277,Timothé Luwawu-Cabarrot,SG,24,BRK,2,0,6,0,2,0.0,0,1,0.0,0,1,0.0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1
278,Trey Lyles,PF,24,SAS,23,14,397,38,88,0.43200000000000005,18,48,0.375,20,40,0.5,0.534,5,9,0.556,32,108,140,29,7,7,18,27,99
279,Daryl Macon,SG,24,MIA,3,0,13,1,3,0.33299999999999996,1,2,0.5,0,1,0.0,0.5,0,0,0.0,0,0,0,1,0,0,2,1,3
280,Josh Magette,PG,30,ORL,3,0,10,2,6,0.33299999999999996,0,0,0.0,2,6,0.33299999999999996,0.33299999999999996,1,2,0.5,1,2,3,2,2,0,3,0,5
281,Ian Mahinmi,C,33,WAS,2,0,31,6,9,0.667,0,0,0.0,6,9,0.667,0.667,4,6,0.667,5,6,11,2,0,3,3,7,16
282,Thon Maker,C,22,DET,22,0,230,23,43,0.535,7,14,0.5,16,29,0.552,0.616,16,31,0.516,10,27,37,9,6,14,11,31,69
283,Terance Mann,SG,23,LAC,19,3,166,19,39,0.48700000000000004,2,9,0.222,17,30,0.5670000000000001,0.513,7,8,0.875,3,19,22,22,6,2,12,21,47
284,Boban Marjanović,C,31,DAL,10,1,131,31,56,0.5539999999999999,0,1,0.0,31,55,0.564,0.5539999999999999,13,16,0.813,15,40,55,7,2,3,9,18,75
285,Lauri Markkanen,PF,22,CHI,25,25,754,112,296,0.37799999999999995,49,153,0.32,63,143,0.441,0.461,82,101,0.812,25,145,170,41,22,12,48,48,355
286,Caleb Martin,SF,24,CHO,4,0,28,3,10,0.3,0,3,0.0,3,7,0.429,0.3,1,3,0.33299999999999996,1,4,5,3,1,2,3,3,7
287,Cody Martin,SF,24,CHO,17,0,192,16,43,0.37200000000000005,1,18,0.055999999999999994,15,25,0.6,0.384,15,22,0.682,8,28,36,18,13,1,7,19,48
288,Kelan Martin,SF,24,MIN,9,0,123,15,44,0.341,5,24,0.20800000000000002,10,20,0.5,0.39799999999999996,0,0,0.0,2,24,26,3,1,1,4,20,35
289,Frank Mason,PG,25,MIL,2,0,10,1,4,0.25,1,2,0.5,0,2,0.0,0.375,1,2,0.5,0,0,0,2,0,0,0,1,4
290,Garrison Mathews,SG,23,WAS,2,0,14,0,2,0.0,0,2,0.0,0,0,0.0,0.0,0,0,0.0,0,1,1,2,0,0,1,3,0
291,Wesley Matthews,SG,33,MIL,24,24,578,67,152,0.441,40,104,0.385,27,48,0.563,0.5720000000000001,23,27,0.852,4,51,55,36,13,2,19,29,197
292,Patrick McCaw,SF,24,TOR,2,0,40,3,5,0.6,1,3,0.33299999999999996,2,2,1.0,0.7,1,2,0.5,2,4,6,3,3,0,3,3,8
293,CJ McCollum,SG,28,POR,24,24,874,212,474,0.447,63,163,0.387,149,311,0.479,0.514,41,51,0.804,20,87,107,90,19,21,46,68,528
294,T.J. McConnell,PG,27,IND,22,0,383,65,135,0.48100000000000004,1,4,0.25,64,131,0.489,0.485,10,11,0.909,10,49,59,106,11,4,32,27,141
295,Jalen McDaniels,PF,22,CHO,1,0,3,1,2,0.5,0,0,0.0,1,2,0.5,0.5,0,0,0.0,1,0,1,0,0,0,0,0,2
296,Doug McDermott,PF,28,IND,24,0,498,85,183,0.46399999999999997,44,94,0.46799999999999997,41,89,0.461,0.585,13,15,0.867,10,56,66,28,3,3,20,47,227
297,JaVale McGee,C,32,LAL,24,24,396,78,126,0.619,0,0,0.0,78,126,0.619,0.619,17,26,0.654,46,101,147,15,14,28,18,54,173
298,Rodney McGruder,SG,28,LAC,15,2,260,23,60,0.38299999999999995,11,35,0.314,12,25,0.48,0.475,3,8,0.375,11,25,36,12,4,3,7,26,60
299,Alfonzo McKinnie,SF,27,CLE,17,0,175,17,50,0.34,8,25,0.32,9,25,0.36,0.42,7,11,0.636,10,26,36,3,6,3,8,20,49
300,Jordan McLaughlin,PG,23,MIN,4,0,57,4,15,0.267,1,8,0.125,3,7,0.429,0.3,2,2,1.0,1,6,7,8,1,0,4,4,11
301,Ben McLemore,SG,26,HOU,23,7,516,76,189,0.402,56,161,0.348,20,28,0.7140000000000001,0.55,25,29,0.862,9,47,56,24,15,6,19,47,233
302,Jordan McRae,SG,28,WAS,13,0,235,43,91,0.473,13,33,0.39399999999999996,30,58,0.517,0.544,17,19,0.895,3,28,31,36,8,4,14,26,116
303,Nicolò Melli,C,29,NOP,22,3,341,41,99,0.414,22,67,0.32799999999999996,19,32,0.594,0.525,19,24,0.792,14,45,59,24,14,4,17,42,123
304,De'Anthony Melton,PG,21,MEM,12,0,171,24,59,0.40700000000000003,5,17,0.294,19,42,0.452,0.449,14,16,0.875,8,28,36,34,15,2,17,16,67
305,Chimezie Metu,PF,22,SAS,6,0,21,7,12,0.583,0,0,0.0,7,12,0.583,0.583,2,4,0.5,7,4,11,2,0,2,0,0,16
306,Khris Middleton,SF,28,MIL,17,14,464,110,225,0.489,36,90,0.4,74,135,0.5479999999999999,0.569,42,47,0.894,13,85,98,57,14,2,30,42,298
307,C.J. Miles,SG,32,WAS,10,0,161,19,59,0.322,11,35,0.314,8,24,0.33299999999999996,0.415,15,20,0.75,4,8,12,12,10,4,4,14,64
308,Malcolm Miller,SF,26,TOR,9,1,54,6,12,0.5,5,10,0.5,1,2,0.5,0.708,1,6,0.16699999999999998,0,7,7,4,0,2,2,6,18
309,Patty Mills,PG,31,SAS,23,1,538,90,196,0.45899999999999996,47,113,0.41600000000000004,43,83,0.518,0.579,29,37,0.784,4,28,32,53,21,4,24,35,256
