,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
310,Paul Millsap,PF,34,DEN,21,21,537,93,195,0.47700000000000004,25,52,0.48100000000000004,68,143,0.47600000000000003,0.541,63,72,0.875,41,82,123,28,17,17,26,59,274
311,Shake Milton,SG,23,PHI,9,0,82,12,35,0.34299999999999997,4,19,0.21100000000000002,8,16,0.5,0.4,7,9,0.778,1,7,8,7,1,0,12,13,35
312,Donovan Mitchell,SG,23,UTA,24,24,830,217,496,0.43799999999999994,54,149,0.36200000000000004,163,347,0.47,0.49200000000000005,104,124,0.8390000000000001,21,93,114,86,30,6,57,53,592
313,Naz Mitrou-Long,SG,26,IND,3,0,43,6,16,0.375,2,11,0.182,4,5,0.8,0.43799999999999994,0,0,0.0,0,6,6,7,1,1,2,1,14
314,Malik Monk,SG,21,CHO,25,0,516,89,202,0.441,25,95,0.263,64,107,0.598,0.502,30,36,0.833,7,58,65,54,10,6,36,42,233
315,E'Twaun Moore,SG,30,NOP,16,3,326,59,140,0.42100000000000004,21,55,0.382,38,85,0.447,0.496,14,22,0.636,13,38,51,23,8,1,11,27,153
316,Ja Morant,PG,20,MEM,18,18,518,126,272,0.46299999999999997,19,44,0.43200000000000005,107,228,0.469,0.498,72,93,0.774,16,40,56,116,24,5,60,30,343
317,Juwan Morgan,PF,22,UTA,3,0,9,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0
318,Marcus Morris,SF,30,NYK,21,21,687,127,299,0.425,60,120,0.5,67,179,0.374,0.525,76,90,0.8440000000000001,23,99,122,27,19,13,37,66,390
319,Markieff Morris,PF,30,DET,23,12,507,86,186,0.462,35,88,0.39799999999999996,51,98,0.52,0.556,26,34,0.765,12,77,89,35,15,4,38,54,233
320,Monte Morris,PG,24,DEN,21,0,361,59,137,0.431,11,28,0.39299999999999996,48,109,0.44,0.47100000000000003,22,30,0.733,4,31,35,71,10,5,15,19,151
321,Johnathan Motley,PF,24,LAC,2,0,4,1,3,0.33299999999999996,1,1,1.0,0,2,0.0,0.5,0,0,0.0,1,1,2,2,0,0,2,1,3
322,Emmanuel Mudiay,PG,23,UTA,21,0,330,59,127,0.465,9,31,0.29,50,96,0.521,0.5,22,27,0.815,6,46,52,50,6,4,37,35,149
323,Dejounte Murray,PG,23,SAS,20,13,452,76,168,0.452,5,26,0.192,71,142,0.5,0.467,37,47,0.787,25,96,121,81,32,5,45,46,194
324,Jamal Murray,PG,22,DEN,21,21,688,145,332,0.43700000000000006,36,106,0.34,109,226,0.48200000000000004,0.491,56,62,0.903,17,74,91,100,32,8,48,38,382
325,Džanan Musa,SF,20,BRK,18,0,278,29,90,0.322,8,44,0.182,21,46,0.457,0.36700000000000005,22,29,0.759,8,39,47,24,8,1,22,16,88
326,Mike Muscala,C,28,OKC,15,0,166,18,58,0.31,12,44,0.273,6,14,0.429,0.414,7,8,0.875,6,29,35,14,4,3,6,20,55
327,Sviatoslav Mykhailiuk,SF,22,DET,19,1,324,37,86,0.43,29,63,0.46,8,23,0.348,0.599,5,6,0.833,4,19,23,25,8,1,17,22,108
328,Abdel Nader,SF,26,OKC,16,3,263,38,79,0.48100000000000004,16,39,0.41,22,40,0.55,0.5820000000000001,20,24,0.833,5,25,30,9,5,6,16,24,112
329,Larry Nance,C,27,CLE,21,4,545,79,157,0.503,25,67,0.373,54,90,0.6,0.583,25,35,0.7140000000000001,41,113,154,31,19,10,22,35,208
330,Shabazz Napier,PG,28,MIN,11,0,198,27,70,0.386,11,44,0.25,16,26,0.615,0.46399999999999997,21,24,0.875,1,22,23,36,12,3,20,11,86
331,Raul Neto,PG,27,PHI,21,2,258,39,77,0.506,14,28,0.5,25,49,0.51,0.597,3,4,0.75,3,20,23,34,9,2,18,13,95
332,Georges Niang,PF,26,UTA,18,0,207,28,61,0.45899999999999996,14,37,0.37799999999999995,14,24,0.583,0.574,7,10,0.7,2,29,31,9,1,2,10,27,77
333,Nerlens Noel,C,25,OKC,22,3,408,66,102,0.647,0,0,0.0,66,102,0.647,0.647,34,43,0.7909999999999999,31,80,111,34,21,35,23,61,166
334,Zach Norvell,SG,22,LAL,2,0,5,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
335,Jaylen Nowell,SG,20,MIN,2,0,15,1,4,0.25,0,3,0.0,1,1,1.0,0.25,1,1,1.0,0,1,1,3,0,0,1,1,3
336,Frank Ntilikina,PG,21,NYK,21,17,538,51,133,0.38299999999999995,19,54,0.35200000000000004,32,79,0.405,0.455,13,17,0.765,8,37,45,71,27,10,24,55,134
337,Kendrick Nunn,SG,24,MIA,23,23,689,140,315,0.444,47,135,0.348,93,180,0.517,0.519,26,33,0.7879999999999999,7,51,58,78,24,7,49,59,353
338,David Nwaba,SF,27,BRK,15,0,184,24,43,0.5579999999999999,7,16,0.43799999999999994,17,27,0.63,0.64,9,16,0.563,7,24,31,5,5,9,6,23,64
339,Royce O'Neale,PF,26,UTA,24,22,680,49,105,0.467,29,65,0.446,20,40,0.5,0.605,12,14,0.857,3,108,111,62,19,6,21,72,139
340,Kyle O'Quinn,C,29,PHI,14,0,147,23,43,0.535,5,13,0.385,18,30,0.6,0.593,2,6,0.33299999999999996,16,38,54,20,2,11,15,22,53
341,Semi Ojeleye,PF,25,BOS,22,1,325,22,52,0.423,12,32,0.375,10,20,0.5,0.5379999999999999,7,10,0.7,7,35,42,8,10,1,5,27,63
342,Jahlil Okafor,C,24,NOP,15,7,274,55,87,0.632,1,2,0.5,54,85,0.635,0.638,27,39,0.6920000000000001,25,45,70,21,5,15,25,45,138
343,Elie Okobo,PG,22,PHO,16,0,152,21,52,0.40399999999999997,10,25,0.4,11,27,0.40700000000000003,0.5,11,21,0.524,2,13,15,38,4,0,4,8,63
344,Josh Okogie,SG,21,MIN,21,6,523,59,134,0.44,16,51,0.314,43,83,0.518,0.5,55,70,0.7859999999999999,31,75,106,34,22,7,31,48,189
345,KZ Okpala,SF,20,MIA,2,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0
346,Kelly Olynyk,C,28,MIA,23,0,538,70,151,0.46399999999999997,38,89,0.42700000000000005,32,62,0.516,0.589,29,33,0.879,22,91,113,31,22,9,32,63,207
347,Miye Oni,SG,22,UTA,3,0,8,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0
348,Cedi Osman,SF,24,CLE,23,23,672,79,187,0.42200000000000004,36,99,0.364,43,88,0.489,0.519,21,32,0.6559999999999999,9,69,78,47,25,6,29,52,215
349,Kelly Oubre,SF,24,PHO,23,23,740,141,316,0.446,35,107,0.327,106,209,0.507,0.502,86,110,0.782,32,105,137,34,31,17,37,76,403
350,Jabari Parker,PF,24,ATL,23,18,644,153,305,0.502,24,87,0.276,129,218,0.5920000000000001,0.541,42,58,0.7240000000000001,42,104,146,43,34,12,45,73,372
351,Chandler Parsons,SF,31,ATL,3,0,35,4,12,0.33299999999999996,3,10,0.3,1,2,0.5,0.45799999999999996,0,0,0.0,1,3,4,2,4,0,1,3,11
352,Eric Paschall,PF,23,GSW,24,18,755,147,296,0.49700000000000005,17,58,0.293,130,238,0.546,0.525,87,107,0.813,35,90,125,41,9,9,40,47,398
353,Patrick Patterson,PF,30,LAC,22,12,307,36,93,0.387,30,73,0.41100000000000003,6,20,0.3,0.5479999999999999,8,12,0.667,14,46,60,17,4,2,7,19,110
354,Justin Patton,C,22,OKC,2,0,9,1,3,0.33299999999999996,0,1,0.0,1,2,0.5,0.33299999999999996,0,0,0.0,0,2,2,0,0,0,1,4,2
355,Chris Paul,PG,34,OKC,23,23,712,121,267,0.45299999999999996,35,98,0.35700000000000004,86,169,0.509,0.519,91,102,0.892,6,89,95,135,38,2,39,55,368
356,Elfrid Payton,PG,25,NYK,6,3,130,16,41,0.39,6,10,0.6,10,31,0.32299999999999995,0.46299999999999997,7,8,0.875,5,12,17,24,13,1,12,10,45
357,Norvel Pelle,SF,26,PHI,2,0,25,2,3,0.667,0,0,0.0,2,3,0.667,0.667,4,6,0.667,2,8,10,2,0,4,2,4,8
358,Theo Pinson,SG,24,BRK,14,0,209,24,89,0.27,8,42,0.19,16,47,0.34,0.315,11,12,0.917,7,24,31,32,8,0,20,21,67
359,Mason Plumlee,C,29,DEN,21,0,350,59,100,0.59,0,4,0.0,59,96,0.615,0.59,27,51,0.529,37,84,121,48,15,17,32,54,145
360,Vincent Poirier,C,26,BOS,9,0,44,7,14,0.5,0,0,0.0,7,14,0.5,0.5,1,2,0.5,8,7,15,3,2,2,3,10,15
361,Jakob Pöltl,C,24,SAS,23,7,435,60,101,0.594,0,0,0.0,60,101,0.594,0.594,19,34,0.5589999999999999,53,86,139,35,14,31,21,42,139
362,Shamorie Ponds,PG,21,TOR,2,0,8,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,0.0,0,1,1,2,0,1,0,2,4
363,Jordan Poole,SG,20,GSW,24,9,576,59,229,0.258,29,118,0.24600000000000002,30,111,0.27,0.321,42,49,0.857,4,50,54,49,15,6,29,44,189
364,Kevin Porter,SF,19,CLE,22,1,460,59,143,0.413,13,50,0.26,46,93,0.495,0.45799999999999996,22,30,0.733,8,63,71,42,19,5,35,54,153
365,Michael Porter,PF,21,DEN,12,0,103,21,45,0.467,5,15,0.33299999999999996,16,30,0.5329999999999999,0.522,5,8,0.625,10,19,29,5,0,3,8,14,52
366,Otto Porter,SF,26,CHI,9,9,226,35,84,0.41700000000000004,16,40,0.4,19,44,0.43200000000000005,0.512,15,20,0.75,8,23,31,14,9,3,7,20,101
367,Bobby Portis,C,24,NYK,23,2,502,79,198,0.39899999999999997,23,65,0.354,56,133,0.42100000000000004,0.457,18,25,0.72,36,96,132,25,15,8,21,40,199
368,Kristaps Porziņģis,PF,24,DAL,22,22,665,129,324,0.39799999999999996,44,130,0.33799999999999997,85,194,0.43799999999999994,0.466,59,84,0.7020000000000001,37,154,191,30,12,44,35,64,361
369,Dwight Powell,C,28,DAL,20,17,506,67,98,0.684,6,13,0.462,61,85,0.718,0.7140000000000001,23,41,0.561,31,62,93,25,16,8,19,51,163
370,Norman Powell,SG,26,TOR,23,12,644,110,236,0.466,39,109,0.358,71,127,0.5589999999999999,0.5489999999999999,47,58,0.81,12,77,89,36,24,8,35,41,306
371,Julius Randle,PF,25,NYK,23,23,738,140,321,0.436,19,80,0.23800000000000002,121,241,0.502,0.466,86,130,0.662,56,142,198,79,17,3,74,65,385
372,Cam Reddish,SF,20,ATL,20,17,496,56,176,0.318,19,76,0.25,37,100,0.37,0.37200000000000005,28,37,0.757,13,60,73,32,19,7,35,35,159
373,J.J. Redick,SG,35,NOP,23,19,653,106,247,0.429,75,167,0.449,31,80,0.38799999999999996,0.581,58,67,0.866,4,68,72,47,10,5,30,38,345
374,Naz Reid,C,20,MIN,2,0,4,1,2,0.5,1,2,0.5,0,0,0.0,0.75,0,0,0.0,0,1,1,0,0,0,0,1,3
375,Josh Richardson,SG,26,PHI,16,16,512,93,204,0.456,32,83,0.386,61,121,0.504,0.534,40,50,0.8,10,45,55,58,18,10,37,47,258
376,Austin Rivers,SG,27,HOU,22,1,547,67,162,0.414,31,95,0.326,36,67,0.537,0.509,20,28,0.7140000000000001,17,43,60,34,11,4,15,44,185
377,Duncan Robinson,SF,25,MIA,23,18,598,85,185,0.45899999999999996,65,153,0.425,20,32,0.625,0.635,15,16,0.938,3,65,68,17,19,8,16,61,250
378,Glenn Robinson,SF,26,GSW,25,25,802,115,253,0.455,30,79,0.38,85,174,0.489,0.514,27,32,0.8440000000000001,36,82,118,43,25,7,22,41,287
379,Jerome Robinson,SG,22,LAC,20,0,256,29,87,0.33299999999999996,11,40,0.275,18,47,0.38299999999999995,0.397,5,10,0.5,2,32,34,19,7,7,15,28,74
380,Justin Robinson,PG,22,WAS,5,0,14,2,5,0.4,1,1,1.0,1,4,0.25,0.5,0,0,0.0,1,2,3,2,0,0,2,0,5
381,Mitchell Robinson,C,21,NYK,19,6,403,69,101,0.6829999999999999,0,0,0.0,69,101,0.6829999999999999,0.6829999999999999,37,59,0.627,55,72,127,12,14,37,16,65,175
382,Rajon Rondo,PG,33,LAL,13,0,272,42,91,0.462,19,36,0.528,23,55,0.418,0.5660000000000001,8,11,0.727,4,42,46,76,14,1,24,13,111
383,Derrick Rose,PG,31,DET,19,1,451,122,250,0.488,14,43,0.326,108,207,0.522,0.516,47,54,0.87,9,30,39,110,15,8,47,21,305
384,Terrence Ross,SG,28,ORL,21,0,513,99,236,0.419,43,131,0.32799999999999996,56,105,0.5329999999999999,0.511,42,50,0.84,6,56,62,21,19,6,25,37,283
385,Terry Rozier,PG,25,CHO,25,25,818,155,357,0.434,69,167,0.413,86,190,0.45299999999999996,0.531,59,68,0.868,19,91,110,105,30,4,71,56,438
386,Ricky Rubio,PG,29,PHO,18,18,569,81,211,0.384,20,64,0.313,61,147,0.415,0.431,46,56,0.821,13,73,86,166,24,3,34,48,228
387,D'Angelo Russell,SG,23,GSW,13,13,402,100,231,0.433,37,105,0.35200000000000004,63,126,0.5,0.513,49,66,0.742,4,44,48,81,9,5,43,22,286
388,Domantas Sabonis,C,23,IND,22,22,758,160,313,0.511,5,26,0.192,155,287,0.54,0.519,79,102,0.775,79,218,297,82,17,13,61,81,404
389,JaKarr Sampson,SF,26,IND,9,7,166,23,41,0.561,2,10,0.2,21,31,0.677,0.585,2,7,0.28600000000000003,7,17,24,4,5,6,6,23,50
390,Dario Šarić,PF,25,PHO,23,23,648,93,214,0.435,38,110,0.345,55,104,0.529,0.523,35,41,0.8540000000000001,43,124,167,47,20,10,31,61,259
391,Tomáš Satoranský,PG,28,CHI,25,25,684,85,193,0.44,29,75,0.387,56,118,0.475,0.516,37,42,0.8809999999999999,21,62,83,136,37,3,51,51,236
392,Admiral Schofield,SF,22,WAS,9,0,76,7,12,0.583,4,9,0.444,3,3,1.0,0.75,4,4,1.0,2,9,11,1,0,0,3,7,22
393,Dennis Schröder,PG,26,OKC,23,0,675,150,327,0.45899999999999996,35,108,0.324,115,219,0.525,0.512,50,62,0.8059999999999999,8,78,86,81,16,7,60,52,385
394,Mike Scott,PF,31,PHI,24,1,451,54,125,0.43200000000000005,27,78,0.34600000000000003,27,47,0.574,0.54,12,15,0.8,18,63,81,18,7,2,10,38,147
395,Thabo Sefolosha,PF,35,HOU,19,0,201,16,46,0.348,8,28,0.28600000000000003,8,18,0.444,0.435,0,1,0.0,11,34,45,15,9,4,6,19,40
396,Collin Sexton,SG,21,CLE,23,23,699,153,356,0.43,25,80,0.313,128,276,0.46399999999999997,0.465,67,83,0.807,23,49,72,55,20,1,42,45,398
397,Landry Shamet,SG,22,LAC,10,10,294,30,77,0.39,21,58,0.36200000000000004,9,19,0.474,0.526,10,10,1.0,0,15,15,17,4,1,12,31,91
398,Iman Shumpert,SG,29,BRK,12,0,226,20,59,0.33899999999999997,7,31,0.226,13,28,0.46399999999999997,0.39799999999999996,3,5,0.6,9,23,32,12,12,2,10,20,50
399,Pascal Siakam,PF,25,TOR,23,23,849,211,461,0.45799999999999996,52,143,0.364,159,318,0.5,0.514,90,111,0.8109999999999999,36,158,194,82,21,16,63,62,564
400,Chris Silva,PF,23,MIA,21,0,208,29,44,0.659,0,2,0.0,29,42,0.69,0.659,24,34,0.706,40,44,84,13,5,14,25,56,82
401,Ben Simmons,PG,23,PHI,22,22,753,131,229,0.5720000000000001,2,4,0.5,129,225,0.573,0.5760000000000001,50,85,0.588,34,117,151,186,51,12,84,73,314
402,Anfernee Simons,SG,20,POR,24,1,514,89,212,0.42,34,100,0.34,55,112,0.491,0.5,29,39,0.7440000000000001,7,38,45,36,11,3,24,48,241
403,Marcus Smart,SG,25,BOS,20,15,635,82,212,0.387,42,126,0.33299999999999996,40,86,0.465,0.486,29,33,0.879,19,48,67,91,26,9,25,46,235
404,Dennis Smith,PG,22,NYK,16,1,279,32,100,0.32,9,31,0.29,23,69,0.33299999999999996,0.365,14,25,0.56,11,18,29,46,7,5,26,36,87
405,Ish Smith,PG,31,WAS,22,8,543,84,187,0.449,20,54,0.37,64,133,0.48100000000000004,0.503,12,18,0.667,11,54,65,95,16,7,27,37,200
406,Tony Snell,SF,28,DET,20,18,508,56,120,0.467,38,85,0.447,18,35,0.514,0.625,4,4,1.0,5,31,36,29,8,2,10,37,154
407,Omari Spellman,PF,22,GSW,24,0,436,67,152,0.441,19,50,0.38,48,102,0.47100000000000003,0.503,36,43,0.8370000000000001,52,79,131,24,16,16,34,27,189
408,Max Strus,SG,23,CHI,2,0,6,2,3,0.667,0,1,0.0,2,2,1.0,0.667,1,1,1.0,1,0,1,0,0,0,0,1,5
409,Edmond Sumner,PG,24,IND,4,2,72,9,19,0.474,0,3,0.0,9,16,0.563,0.474,3,5,0.6,1,2,3,8,5,1,1,9,21
410,Caleb Swanigan,PF,22,SAC,4,0,11,1,2,0.5,0,0,0.0,1,2,0.5,0.5,1,2,0.5,1,3,4,0,1,2,3,3,3
411,Jayson Tatum,PF,21,BOS,22,22,750,168,405,0.415,55,149,0.369,113,256,0.441,0.483,73,89,0.82,27,131,158,62,32,17,49,49,464
412,Jeff Teague,PG,31,MIN,19,12,554,79,182,0.434,17,49,0.34700000000000003,62,133,0.466,0.48100000000000004,74,86,0.86,10,41,51,132,18,5,44,41,249
413,Garrett Temple,SG,33,BRK,23,14,638,83,200,0.415,51,141,0.36200000000000004,32,59,0.542,0.5429999999999999,19,25,0.76,12,62,74,53,22,13,25,46,236
414,Daniel Theis,C,27,BOS,19,18,409,51,98,0.52,5,17,0.294,46,81,0.568,0.546,21,31,0.677,29,92,121,26,9,31,17,57,128
415,Isaiah Thomas,PG,30,WAS,17,14,424,82,184,0.446,34,83,0.41,48,101,0.475,0.5379999999999999,16,20,0.8,3,28,31,86,8,4,37,37,214
416,Khyri Thomas,SG,23,DET,2,0,6,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1
417,Matt Thomas,SG,25,TOR,12,0,136,20,37,0.541,14,26,0.5379999999999999,6,11,0.545,0.73,3,5,0.6,1,12,13,4,4,0,4,12,57
418,Tristan Thompson,C,28,CLE,22,22,687,129,248,0.52,3,7,0.429,126,241,0.523,0.526,42,74,0.568,91,131,222,52,19,25,36,56,303
419,Matisse Thybulle,SG,22,PHI,23,3,383,36,84,0.429,22,50,0.44,14,34,0.41200000000000003,0.56,15,20,0.75,5,19,24,30,34,17,24,54,109
420,Anthony Tolliver,PF,34,POR,17,7,280,17,58,0.293,13,46,0.28300000000000003,4,12,0.33299999999999996,0.405,9,11,0.818,10,43,53,11,4,6,11,23,56
421,Karl-Anthony Towns,C,24,MIN,21,21,708,189,366,0.516,75,177,0.424,114,189,0.603,0.619,96,120,0.8,55,191,246,95,21,29,62,71,549
422,Gary Trent,SG,21,POR,11,1,93,15,33,0.455,11,23,0.478,4,10,0.4,0.621,0,0,0.0,3,9,12,5,2,2,2,7,41
423,Allonzo Trier,PG,24,NYK,11,1,142,24,46,0.522,12,27,0.444,12,19,0.632,0.652,23,28,0.821,1,16,17,14,2,3,16,22,83
424,P.J. Tucker,PF,34,HOU,23,23,824,82,161,0.509,45,104,0.433,37,57,0.649,0.649,16,20,0.8,36,128,164,33,30,12,23,78,225
425,Evan Turner,PG,31,ATL,14,0,195,23,58,0.397,0,4,0.0,23,54,0.426,0.397,12,14,0.857,7,22,29,32,8,8,20,16,58
426,Myles Turner,C,23,IND,16,16,491,63,150,0.42,23,64,0.359,40,86,0.465,0.49700000000000005,25,34,0.735,25,65,90,19,11,38,27,40,174
427,Jonas Valančiūnas,C,27,MEM,21,21,521,125,215,0.581,12,32,0.375,113,183,0.617,0.609,37,48,0.7709999999999999,54,152,206,41,8,18,48,61,299
428,Denzel Valentine,SF,26,CHI,11,0,121,27,58,0.466,18,40,0.45,9,18,0.5,0.621,0,0,0.0,2,19,21,11,4,2,3,13,72
429,Jarred Vanderbilt,SF,20,DEN,3,0,9,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0
430,Fred VanVleet,PG,25,TOR,22,22,806,126,308,0.409,58,147,0.395,68,161,0.42200000000000004,0.503,85,97,0.8759999999999999,4,79,83,155,44,3,52,51,395
431,Noah Vonleh,C,24,MIN,16,1,181,20,43,0.465,1,10,0.1,19,33,0.5760000000000001,0.47700000000000004,16,19,0.8420000000000001,18,36,54,16,4,3,13,20,57
432,Nikola Vučević,C,29,ORL,14,14,431,95,211,0.45,16,50,0.32,79,161,0.491,0.488,33,39,0.846,41,121,162,49,9,15,20,27,239
433,Dean Wade,PF,23,CLE,3,0,18,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,0.0,0,2,2,0,1,0,0,3,3
434,Moritz Wagner,C,22,WAS,20,3,403,90,153,0.588,22,54,0.40700000000000003,68,99,0.687,0.66,33,40,0.825,31,90,121,25,15,12,43,77,235
435,Kemba Walker,PG,29,BOS,21,21,671,150,357,0.42,75,186,0.40299999999999997,75,171,0.439,0.525,83,91,0.912,21,72,93,107,20,12,46,36,458
436,Lonnie Walker,SG,21,SAS,16,0,128,27,62,0.435,6,16,0.375,21,46,0.457,0.484,5,13,0.385,6,15,21,8,4,2,7,11,65
437,Tyrone Wallace,SG,25,ATL,14,0,160,14,44,0.318,1,15,0.067,13,29,0.44799999999999995,0.33,11,17,0.647,3,19,22,13,7,1,10,19,40
438,Taurean Waller-Prince,SF,25,BRK,23,23,701,111,272,0.408,63,158,0.39899999999999997,48,114,0.42100000000000004,0.524,23,31,0.742,19,123,142,51,20,9,48,61,308
439,Derrick Walton,PG,24,LAC,9,0,64,6,12,0.5,3,8,0.375,3,4,0.75,0.625,3,3,1.0,2,2,4,5,2,0,1,6,18
440,Brad Wanamaker,PG,30,BOS,22,0,391,52,111,0.46799999999999997,11,29,0.379,41,82,0.5,0.518,45,51,0.882,9,34,43,63,16,5,26,37,160
441,T.J. Warren,SF,26,IND,24,24,792,177,348,0.509,30,76,0.395,147,272,0.54,0.552,58,70,0.8290000000000001,17,67,84,24,26,7,33,68,442
442,PJ Washington,PF,21,CHO,25,25,708,112,228,0.491,34,80,0.425,78,148,0.527,0.5660000000000001,44,63,0.698,23,104,127,44,27,21,31,68,302
443,Yuta Watanabe,SG,25,MEM,3,0,11,3,5,0.6,1,1,1.0,2,4,0.5,0.7,0,0,0.0,0,2,2,0,0,1,0,1,7
444,Tremont Waters,PG,22,BOS,1,0,20,2,7,0.28600000000000003,1,5,0.2,1,2,0.5,0.35700000000000004,2,2,1.0,0,2,2,3,1,2,2,2,7
445,Russell Westbrook,PG,31,HOU,21,21,723,175,416,0.42100000000000004,25,109,0.22899999999999998,150,307,0.489,0.451,96,129,0.7440000000000001,34,136,170,157,34,8,96,83,471
446,Coby White,SG,19,CHI,25,0,632,107,299,0.358,51,149,0.342,56,150,0.373,0.44299999999999995,33,42,0.7859999999999999,7,86,93,61,17,0,37,36,298
447,Derrick White,SG,25,SAS,21,9,501,71,157,0.452,20,51,0.392,51,106,0.48100000000000004,0.516,41,52,0.7879999999999999,11,37,48,61,9,15,26,50,203
448,Hassan Whiteside,C,30,POR,21,21,593,132,217,0.608,0,0,0.0,132,217,0.608,0.608,58,77,0.753,77,183,260,28,10,47,42,62,322
449,Andrew Wiggins,SF,24,MIN,19,19,658,174,384,0.45299999999999996,41,123,0.33299999999999996,133,261,0.51,0.507,76,105,0.7240000000000001,23,75,98,64,11,24,37,46,465
450,Grant Williams,PF,21,BOS,21,1,301,15,60,0.25,1,26,0.038,14,34,0.41200000000000003,0.258,14,17,0.8240000000000001,15,30,45,18,8,12,16,39,45
451,Kenrich Williams,PF,25,NOP,22,12,554,44,107,0.41100000000000003,21,68,0.309,23,39,0.59,0.509,9,22,0.409,36,93,129,37,20,16,17,57,118
452,Lou Williams,SG,33,LAC,25,3,774,163,401,0.406,42,122,0.344,121,279,0.434,0.45899999999999996,132,155,0.852,12,66,78,154,13,4,77,39,500
453,Marvin Williams,PF,33,CHO,24,0,487,63,127,0.496,30,75,0.4,33,52,0.635,0.614,27,30,0.9,9,57,66,23,16,10,16,40,183
454,Robert Williams,C,22,BOS,19,1,269,33,49,0.6729999999999999,0,0,0.0,33,49,0.6729999999999999,0.6729999999999999,8,14,0.5710000000000001,23,64,87,21,17,21,16,34,74
455,Nigel Williams-Goss,PG,25,UTA,7,0,22,0,5,0.0,0,1,0.0,0,4,0.0,0.0,2,2,1.0,1,1,2,2,0,1,1,1,2
456,D.J. Wilson,PF,23,MIL,11,0,127,23,46,0.5,10,29,0.345,13,17,0.765,0.609,1,1,1.0,4,21,25,9,0,1,6,11,57
457,Justise Winslow,SF,23,MIA,10,5,337,50,127,0.39399999999999996,6,26,0.231,44,101,0.436,0.41700000000000004,18,27,0.667,16,55,71,43,6,4,23,36,124
458,Christian Wood,PF,24,DET,22,0,331,73,117,0.624,15,31,0.484,58,86,0.674,0.688,36,55,0.655,27,72,99,12,7,19,21,21,197
459,Delon Wright,SG,27,DAL,22,2,466,62,129,0.48100000000000004,13,37,0.35100000000000003,49,92,0.5329999999999999,0.531,28,34,0.8240000000000001,17,58,75,74,25,7,15,27,165
460,Thaddeus Young,PF,31,CHI,24,0,508,83,203,0.409,27,79,0.342,56,124,0.452,0.475,17,30,0.5670000000000001,38,62,100,37,22,7,38,40,210
461,Trae Young,PG,21,ATL,22,22,761,208,450,0.462,76,196,0.38799999999999996,132,254,0.52,0.547,141,164,0.86,10,80,90,185,28,1,108,29,633
462,Cody Zeller,C,27,CHO,22,17,517,101,188,0.537,13,38,0.342,88,150,0.5870000000000001,0.5720000000000001,33,51,0.647,63,105,168,27,12,10,35,53,248
463,Ante Žižić,C,23,CLE,8,0,85,13,26,0.5,0,0,0.0,13,26,0.5,0.5,5,6,0.833,7,14,21,0,2,2,1,9,31
464,Ivica Zubac,C,22,LAC,25,23,419,80,136,0.588,0,2,0.0,80,134,0.597,0.588,51,61,0.836,60,106,166,23,4,27,22,58,211
